n_features,model,accuracy,precision,recall,f1,auc,cv_mean,cv_std
25,Random Forest,0.7480519480519481,0.7543763963606432,0.73330556499915,0.7425403619939714,0.9268354049360253,0.6945078202945838,0.022961989185338053
25,XGBoost,0.7610389610389611,0.757672927132681,0.7448256929603609,0.7506864420409312,0.9364663390799999,0.6974973957576788,0.03112830739579219
25,SVM,0.6935064935064935,0.7489040567435581,0.6492696623213001,0.6773294963939396,0.8876333053296421,0.6339600328924899,0.023078567106082335
50,Random Forest,0.7454545454545455,0.7505523554012468,0.7327744480269502,0.7407483707988922,0.9329194943149242,0.6935966498743509,0.019512251241001415
50,XGBoost,0.7636363636363637,0.7628200939172264,0.749834077433031,0.7557742377948617,0.9335904610890509,0.6969943008536399,0.014469703472611756
50,SVM,0.7220779220779221,0.7643231379722291,0.6814385853000502,0.7080940246194483,0.8920914911245206,0.6607684920731003,0.026383175847703645
100,Random Forest,0.7584415584415585,0.7655161248512568,0.7429037068482018,0.7516982634502805,0.9338013772535557,0.7048733736342963,0.02633560651589223
100,XGBoost,0.7896103896103897,0.7923744138173792,0.7813782270959251,0.7866009230233368,0.942379716925164,0.7164021277269359,0.018376126681121742
100,SVM,0.7402597402597403,0.7792993186610209,0.7082020004563225,0.7335447533486198,0.9097679923461119,0.6681414340887717,0.019232653128980044
150,Random Forest,0.7532467532467533,0.7593119588773378,0.7361606489506853,0.7452621109239569,0.9348677345672105,0.697704890455911,0.02297686040627643
150,XGBoost,0.7922077922077922,0.7963134217259442,0.7831578964711359,0.7893346531046048,0.9435108221909314,0.7067376652944997,0.035935164627754396
150,SVM,0.7142857142857143,0.7536756347101176,0.6855886947447458,0.7082455583982702,0.911320955613993,0.6646142099387897,0.03199172673184394
217,Random Forest,0.7662337662337663,0.7813537157287157,0.7540171952706075,0.765978394808182,0.9356426810804231,0.6903622120670565,0.01853023433445382
217,XGBoost,0.7922077922077922,0.8009956053860572,0.7827346107032185,0.7909861562094487,0.9407397364225096,0.701363234181477,0.028285252475608157
217,SVM,0.7116883116883117,0.7467138225758915,0.6818288626750865,0.7032765952369296,0.9109028687513633,0.6664449298138424,0.03149366985711152
